word,stem,clicks_before,conv_before,CVR_before_%,clicks_after,conv_after,cost_after,p_value
прапор,прапор,45,0.0,,43,0.0,1510.12,
україни,україн,12,0.0,,10,0.0,624.18,
корогва,корогв,176,3.58,2.03,95,4.0,345.97,0.95503
купити,купит,10,0.0,,10,0.0,327.48,
мілітарі,мілітарі,3,0.0,,9,0.0,178.01,
зсу,зсу,2,0.0,,6,0.0,165.74,
худі,худі,0,0.0,,5,0.0,117.7,
купить,куп,0,0.0,,3,0.0,116.77,
підрозділу,підрозділ,0,0.0,,1,0.0,115.82,
com,com,1,0.0,,2,0.0,114.82,
футболки,футболк,4,0.0,,8,0.0,107.83,
бригади,бригад,11,0.0,,4,0.0,100.09,
військові,військові,2,0.0,,7,0.0,95.47,
одяг,одяг,4,0.0,,4,0.0,93.09,
військовий,військов,6,0.0,,5,0.0,82.45,
замовлення,замовлен,0,0.0,,1,0.0,77.15,
під,під,0,0.0,,1,0.0,77.15,
amphibious,amphibious,0,0.0,,1,0.0,75.91,
замовити,замовит,0,0.0,,2,0.0,65.84,
military,military,0,0.0,,1,0.0,64.18,
bandera,bandera,0,0.0,,1,0.0,64.18,
kots,kots,0,0.0,,1,0.0,58.76,
teivaz,teivaz,0,0.0,,1,0.0,56.06,
hate,hate,0,0.0,,1,0.0,45.52,
cult,cult,0,0.0,,1,0.0,45.52,
сайт,сайт,2,1.0,50.0,2,0.0,43.7,
военторг,военторг,0,0.0,,1,0.0,42.7,
украине,украин,0,0.0,,1,0.0,41.56,
піхоти,піхот,0,0.0,,1,0.0,40.29,
морської,морської,0,0.0,,1,0.0,40.29,
бренди,бренд,0,0.0,,2,0.0,40.1,
ataka,ataka,0,0.0,,1,0.0,37.28,
kiev,kiev,0,0.0,,1,0.0,37.28,
койот,койот,0,0.0,,1,0.0,37.22,
режим,реж,0,0.0,,3,0.0,36.36,
киевский,киевск,0,0.0,,3,0.0,36.36,
упа,уп,1,0.0,,1,0.0,35.07,
флаг,флаг,0,0.0,,1,0.0,34.51,
заказати,заказат,2,0.0,,1,0.0,33.31,
підрозділів,підрозділів,0,0.0,,1,0.0,33.15,
олива,олив,0,0.0,,1,0.0,31.28,
штаны,штан,0,0.0,,1,0.0,31.2,
харькова,харьков,0,0.0,,1,0.0,30.42,
korogba,korogba,1,0.0,,1,0.0,29.63,
коругва,коругв,0,0.0,,2,0.0,27.92,
нитха,нитх,0,0.0,,1,0.0,26.89,
магазин,магазин,2,0.0,,1,0.0,25.9,
ахиллес,ахиллес,0,0.0,,1,0.0,25.9,
гонорові,гонорові,0,0.0,,1,0.0,24.11,
костюм,костюм,0,0.0,,1,0.0,23.1,
принтом,принт,3,0.0,,1,0.0,18.41,
стіну,стіну,0,0.0,,1,0.0,16.92,
заказ,заказ,0,0.0,,1,0.0,15.62,
сделать,сдела,0,0.0,,1,0.0,15.62,
club,club,0,0.0,,1,0.0,15.19,
stlv,stlv,0,0.0,,1,0.0,15.19,
гур,гур,0,0.0,,1,0.0,14.39,
омбр,омбр,2,0.0,,1,0.0,14.09,
мерч,мерч,1,0.0,,1,0.0,14.01,
огшбр,огшбр,0,0.0,,1,0.0,13.58,
