word,stem,n_terms,impressions,clicks,cost,conversions,CPA,CTR_%
прапор,прапор,705,32906,259,4504.52,10.0,450.5,0.79
корогва,корогв,16,31036,187,3254.36,14.284,227.8,0.6
футболка,футболк,4466,24060,250,2967.69,1.0,2967.7,1.04
штани,штан,2254,12779,211,2203.31,10.0,220.3,1.65
худі,худі,993,15201,171,1436.7,5.796,247.9,1.12
чоловічі,чоловічі,713,7725,129,1396.34,5.5,253.9,1.67
мужские,мужск,1185,7669,97,1064.59,1.0,1064.6,1.26
спортивні,спортивні,484,4267,96,932.11,3.0,310.7,2.25
худи,худ,1486,12825,111,884.51,1.0,884.5,0.87
купити,купит,445,5520,49,817.2,0.5,1634.4,0.89
спортивные,спортивн,638,3204,61,756.35,5.0,151.3,1.9
купить,куп,946,6603,52,730.87,2.0,365.4,0.79
принтом,принт,443,3852,54,719.31,0.0,inf,1.4
флаг,флаг,429,7078,49,684.32,3.031,225.8,0.69
чоловіче,чоловіч,431,4966,53,560.37,1.0,560.4,1.07
замовити,замовит,31,1736,10,476.19,0.0,inf,0.58
військових,військов,100,2079,28,461.63,2.0,230.8,1.35
кофта,кофт,1097,7343,53,410.2,0.0,inf,0.72
широкі,широкі,138,1390,41,404.11,2.0,202.1,2.95
honorovi,honorovi,7,905,8,400.98,0.0,inf,0.88
оверсайз,оверсайз,379,2331,34,365.44,0.0,inf,1.46
мерч,мерч,541,4233,51,365.15,0.0,inf,1.2
жіночі,жіночі,354,2150,27,325.92,0.0,inf,1.26
зіп,зіп,92,3902,39,264.55,1.0,264.6,1.0
одяг,одяг,598,2806,21,261.04,0.0,inf,0.75
зип,зип,177,3169,34,244.19,0.0,inf,1.07
широкие,широк,225,1363,32,228.42,0.0,inf,2.35
військові,військові,39,1395,11,222.38,0.0,inf,0.79
женские,женск,374,1122,18,204.78,0.0,inf,1.6
черные,черн,351,1610,19,202.13,1.0,202.1,1.18
вампір,вампір,15,346,18,198.76,0.046,4321.6,5.2
зіпка,зіпка,79,1941,24,198.44,0.25,793.8,1.24
мілітарі,мілітарі,42,922,8,186.86,0.0,inf,0.87
военным,воен,59,607,7,171.69,0.0,inf,1.15
зипка,зипк,266,3330,22,170.87,0.0,inf,0.66
club,club,72,1966,14,166.22,0.0,inf,0.71
донбас,донбас,20,310,9,165.21,0.0,inf,2.9
магазин,магазин,389,2263,14,165.01,0.0,inf,0.62
донецкой,донецк,47,927,14,157.34,1.031,152.6,1.51
дрона,дрон,16,285,7,153.78,0.0,inf,2.46
области,област,45,902,14,151.7,1.031,147.1,1.55
замовлення,замовлен,28,1357,7,141.81,0.0,inf,0.52
толстовка,толстовк,266,1449,18,137.72,0.113,1220.4,1.24
жіноча,жіноч,189,1054,14,137.1,1.0,137.1,1.33
брюки,брюк,227,645,13,134.65,0.0,inf,2.02
ukraine,ukraine,64,211,5,134.42,0.0,inf,2.37
зіпку,зіпку,5,182,4,134.16,0.0,inf,2.2
гуд,гуд,8,772,11,134.16,1.0,134.2,1.42
бойс,бойс,9,775,11,134.16,1.0,134.2,1.42
division,division,89,3446,28,132.92,0.0,inf,0.81
клаб,клаб,12,671,10,124.48,1.0,124.5,1.49
чорна,чорн,145,999,11,123.75,1.0,123.7,1.1
corogva,corogva,2,1584,9,115.1,1.352,85.1,0.57
зсу,зсу,57,979,11,108.01,2.0,54.0,1.12
україни,україн,168,1320,8,107.12,0.0,inf,0.61
оптимус,оптимус,30,604,4,105.17,0.0,inf,0.66
медик,медик,24,119,9,104.15,0.0,inf,7.56
свастон,свастон,54,2170,5,99.69,0.0,inf,0.23
пульт,пульт,1,1,1,97.75,0.0,inf,100.0
тіко,тіко,1,1,1,97.75,0.0,inf,100.0
самурая,самур,1,1,1,97.75,0.0,inf,100.0
нема,нем,2,5,1,97.75,0.0,inf,20.0
прямі,прямі,29,190,7,94.99,1.0,95.0,3.68
генг,генг,14,438,3,89.77,0.0,inf,0.68
промінь,промін,4,5,1,89.1,0.0,inf,20.0
донецької,донецької,9,554,6,88.44,0.0,inf,1.08
подмост,подмост,28,792,8,87.72,1.0,87.7,1.01
заколот,заколот,14,486,7,87.25,0.0,inf,1.44
