Campaign,Ad_group,Search_term,Network,Impressions,Clicks,Cost,Conversions
Merchant_Shopping,Всі товари,корогва,SEARCH,5960,29,699.57,0.0
Merchant_Shopping,Всі товари,худі чоловічі,SEARCH,501,11,145.76,0.0
Merchant_Shopping,Всі товари,худі,SEARCH,595,10,142.06,0.0
Merchant_Shopping,Всі товари,прапори,SEARCH,636,4,66.61,0.0
Merchant_Shopping,Всі товари,корогва прапори,SEARCH,582,4,53.09,0.0
Merchant_Shopping,Всі товари,прапор мінометників,SEARCH,25,3,34.77,0.0
Merchant_Shopping,Всі товари,прапор нрк,SEARCH,5,3,31.49,0.0
Merchant_Shopping,Всі товари,купить зип худи,SEARCH,21,3,50.93,0.0
Merchant_Shopping,Всі товари,прапор купити,SEARCH,171,3,96.99,0.0
Merchant_Shopping,Всі товари,широкі спортивні штани чоловічі,SEARCH,40,3,28.67,0.0
Merchant_Shopping,Всі товари,штани спортивні чоловічі,SEARCH,116,3,36.46,0.0
Merchant_Shopping,Всі товари,прапори корогва,SEARCH,217,2,44.81,0.0
Merchant_Shopping,Всі товари,зіп худі,SEARCH,118,2,9.55,0.0
Merchant_Shopping,Всі товари,русоріз мерч,SEARCH,14,2,6.51,0.0
Merchant_Shopping,Всі товари,дурнев шоп,SEARCH,54,2,11.44,0.0
Merchant_Shopping,Всі товари,мілітарі худі,SEARCH,151,2,11.47,0.0
Merchant_Shopping,Всі товари,moletom,SEARCH,31,2,77.53,0.0
Merchant_Shopping,Всі товари,військові прапори,SEARCH,199,2,27.58,0.0
Merchant_Shopping,Всі товари,риот дивижн футболка,SEARCH,12,2,4.22,0.0
Merchant_Shopping,Всі товари,nord division мерч,SEARCH,119,2,8.34,0.0
Merchant_Shopping,Всі товари,спортивні штани чоловічі,SEARCH,193,2,54.35,0.0
Merchant_Shopping,Всі товари,флаг на заказ,SEARCH,16,2,16.44,0.0
Merchant_Shopping,Всі товари,футболка реб,SEARCH,9,2,11.72,0.0
Merchant_Shopping,Всі товари,футболка риот дивижн,SEARCH,12,2,4.14,0.0
Merchant_Shopping,Всі товари,хонорові,SEARCH,44,2,36.6,0.0
Merchant_Shopping,Всі товари,худи,SEARCH,299,2,28.15,0.0
Merchant_Shopping,Всі товари,худи военные,SEARCH,18,2,29.75,0.0
Merchant_Shopping,Всі товари,зип худи,SEARCH,117,2,10.17,0.0
Merchant_Shopping,Всі товари,худі військове,SEARCH,33,2,5.51,0.0
Merchant_Shopping,Всі товари,худі з вишивкою,SEARCH,23,2,11.21,0.0
Merchant_Shopping,Всі товари,худі оверсайз,SEARCH,29,2,27.91,0.0
Merchant_Shopping,Всі товари,прапор розвідки,SEARCH,30,2,11.01,0.0
Merchant_Shopping,Всі товари,худі чоловічі з принтом,SEARCH,53,2,45.94,0.0
