word,stem,n_terms,impressions,clicks,cost,conversions,CPA,CTR_%
прапор,прапор,848,54874,476,7194.98,15.0,479.7,0.87
корогва,корогв,16,52696,326,5385.4,40.784,132.0,0.62
футболка,футболк,5602,38035,388,4281.34,7.0,611.6,1.02
штани,штан,2935,23680,363,4087.72,10.0,408.8,1.53
чоловічі,чоловічі,862,13388,225,2627.57,5.5,477.7,1.68
худі,худі,1225,23592,272,2457.87,6.876,357.5,1.15
спортивні,спортивні,594,8107,164,1790.15,3.0,596.7,2.02
мужские,мужск,1526,11843,158,1747.07,1.0,1747.1,1.33
флаг,флаг,555,11542,87,1380.63,3.031,455.5,0.75
купити,купит,561,9187,94,1360.92,0.5,2721.8,1.02
худи,худ,1766,17101,152,1308.3,1.0,1308.3,0.89
спортивные,спортивн,887,5820,96,1232.52,5.0,246.5,1.65
купить,куп,1187,9785,83,1114.61,3.0,371.5,0.85
принтом,принт,566,6649,90,1033.04,0.0,inf,1.35
чоловіче,чоловіч,532,6837,75,788.41,1.0,788.4,1.1
військових,військов,132,4214,50,733.84,3.0,244.6,1.19
широкі,широкі,160,2738,73,658.75,2.0,329.4,2.67
оверсайз,оверсайз,462,3656,50,582.06,0.0,inf,1.37
кофта,кофт,1302,9223,71,573.84,1.0,573.8,0.77
замовити,замовит,34,2509,14,512.34,0.0,inf,0.56
мерч,мерч,660,6406,67,505.03,0.0,inf,1.05
широкие,широк,290,2650,53,487.67,0.0,inf,2.0
honorovi,honorovi,7,1868,11,468.65,0.0,inf,0.59
corogva,corogva,2,3236,24,465.82,1.352,344.4,0.74
військові,військові,56,3076,27,433.84,0.0,inf,0.88
жіночі,жіночі,415,2935,38,398.65,0.0,inf,1.29
зип,зип,201,3903,48,389.03,0.0,inf,1.23
зіп,зіп,98,4825,55,378.89,1.08,350.8,1.14
донецкой,донецк,61,1841,25,374.99,1.031,363.7,1.36
области,област,57,1849,27,354.13,1.031,343.5,1.46
одяг,одяг,741,3968,27,333.55,0.0,inf,0.68
вампір,вампір,17,865,31,318.11,6.046,52.6,3.58
магазин,магазин,540,3264,30,310.74,1.0,310.7,0.92
военным,воен,89,1118,18,273.67,0.0,inf,1.61
черные,черн,418,2389,24,269.83,1.0,269.8,1.0
женские,женск,474,1543,24,269.16,0.0,inf,1.56
брюки,брюк,310,976,20,259.34,0.0,inf,2.05
мілітарі,мілітарі,53,2037,14,239.94,0.0,inf,0.69
зіпка,зіпка,83,2201,28,231.92,0.25,927.7,1.27
дрон,дрон,21,612,14,229.72,6.0,38.3,2.29
замовлення,замовлен,34,2182,11,227.07,0.0,inf,0.5
division,division,102,5515,38,212.17,0.0,inf,0.69
донбас,донбас,27,566,11,203.76,0.0,inf,1.94
club,club,89,2860,18,199.58,0.0,inf,0.63
заказ,заказ,31,743,8,196.94,0.0,inf,1.08
дснс,дснс,114,807,17,184.81,0.0,inf,2.11
зипка,зипк,287,3854,25,182.44,0.0,inf,0.65
жіноче,жіноч,242,1462,19,174.14,1.0,174.1,1.3
толстовка,толстовк,372,2187,23,170.85,0.113,1514.0,1.05
ukraine,ukraine,86,286,7,166.09,0.0,inf,2.45
чорна,чорн,174,1373,15,162.42,1.0,162.4,1.09
україни,україн,213,1810,11,156.8,0.0,inf,0.61
зсу,зсу,84,1598,18,155.81,2.0,77.9,1.13
бойс,бойс,10,1213,12,151.38,1.0,151.4,0.99
гуд,гуд,8,1209,12,151.38,1.0,151.4,0.99
чорні,чорні,159,1179,10,146.95,0.0,inf,0.85
клаб,клаб,13,1066,11,141.7,1.0,141.7,1.03
гоноровий,гоноров,5,148,1,138.3,0.0,inf,0.68
українського,українськ,138,1177,14,137.9,0.0,inf,1.19
свастон,свастон,57,3428,9,137.87,0.0,inf,0.26
нрк,нрк,15,279,14,135.53,0.0,inf,5.02
зіпку,зіпку,5,196,4,134.16,0.0,inf,2.04
group,group,63,2184,14,124.04,0.0,inf,0.64
toys,toys,8,1378,6,123.64,0.0,inf,0.44
подмост,подмост,29,965,10,121.85,1.0,121.8,1.04
донецька,донецьк,36,551,9,121.84,0.0,inf,1.63
vampire,vampire,21,585,10,121.32,0.0,inf,1.71
медик,медик,29,220,11,119.49,0.0,inf,5.0
дивижн,дивижн,46,2249,28,118.15,0.0,inf,1.24
донецької,донецької,9,1164,11,116.87,0.0,inf,0.95
peklo,peklo,8,1412,5,113.01,0.0,inf,0.35
baggy,baggy,137,547,7,112.35,0.0,inf,1.28
прямі,прямі,32,361,10,109.22,1.0,109.2,2.77
flags,flags,14,279,5,106.68,0.0,inf,1.79
генг,генг,16,537,4,105.38,0.0,inf,0.74
оптимус,оптимус,33,748,4,105.17,0.0,inf,0.53
одежда,одежд,641,1913,19,104.88,0.0,inf,0.99
riot,riot,53,3825,18,104.62,0.0,inf,0.47
прапорів,прапорів,27,676,5,103.36,0.0,inf,0.74
дронщики,дронщик,4,134,8,101.01,0.0,inf,5.97
області,області,11,1177,9,100.95,0.0,inf,0.76
ріотдівіжн,ріотдівіжн,1,25,2,99.78,0.0,inf,8.0
самурая,самур,3,3,1,97.75,0.0,inf,33.33
нема,нем,3,6,1,97.75,0.0,inf,16.67
пульт,пульт,3,3,1,97.75,0.0,inf,33.33
тіко,тіко,2,2,1,97.75,0.0,inf,50.0
заколот,заколот,14,637,10,97.69,0.0,inf,1.57
зіпки,зіпки,7,321,5,97.43,0.25,389.7,1.56
блискавці,блискавці,41,772,13,96.65,1.0,96.6,1.68
мінометників,мінометників,2,148,11,96.14,1.0,96.1,7.43
украина,украин,294,1074,10,95.29,0.0,inf,0.93
норд,норд,37,1859,19,94.97,0.0,inf,1.02
русоріз,русоріз,9,605,22,91.45,0.0,inf,3.64
світшот,світшот,96,877,6,91.05,0.0,inf,0.68
промінь,промін,4,5,1,89.1,0.0,inf,20.0
слабким,слабк,17,925,5,87.9,0.0,inf,0.54
good,good,33,1900,9,86.59,0.0,inf,0.47
банери,банер,16,242,3,85.99,0.0,inf,1.24
стіну,стіну,23,1241,13,85.91,0.0,inf,1.05
без,без,53,188,6,85.61,0.0,inf,3.19
бренд,бренд,309,1764,9,84.53,0.0,inf,0.51
оптімус,оптімус,6,310,3,82.59,0.0,inf,0.97
boys,boys,38,1957,10,82.56,0.0,inf,0.51
костюм,костюм,300,884,13,82.44,0.0,inf,1.47
ганг,ганг,22,487,3,82.38,0.0,inf,0.62
подарунок,подарунок,28,149,4,79.91,0.0,inf,2.68
nord,nord,30,1600,19,78.47,0.0,inf,1.19
foxtrot,foxtrot,17,600,8,77.96,0.0,inf,1.33
zero,zero,26,630,8,77.96,0.0,inf,1.27
moletom,moletom,1,31,2,77.53,0.0,inf,6.45
друк,друк,32,558,3,77.14,0.0,inf,0.54
груп,груп,45,1730,10,75.78,0.0,inf,0.58
шорти,шорт,214,533,8,73.38,0.0,inf,1.5
стену,стен,23,706,8,73.22,0.0,inf,1.13
dubhumans,dubhumans,4,304,3,73.16,0.0,inf,0.99
company,company,64,2040,10,72.92,0.0,inf,0.49
military,military,43,423,7,72.54,0.0,inf,1.65
goodboys,goodboys,1,170,3,72.28,0.0,inf,1.76
шеврон,шеврон,79,554,14,71.45,0.0,inf,2.53
zoho,zoho,13,278,2,70.52,0.0,inf,0.72
дпсу,дпсу,9,75,2,70.04,0.0,inf,2.67
милитари,милитар,50,822,7,69.98,0.0,inf,0.85
компани,компан,47,1096,9,69.82,0.0,inf,0.82
баггі,баггі,35,378,6,67.51,0.0,inf,1.59
хартія,харті,12,411,3,66.68,0.0,inf,0.73
svastone,svastone,33,1893,4,65.98,0.0,inf,0.21
гонорові,гонорові,9,868,4,65.95,0.0,inf,0.46
авіація,авіаці,20,483,5,65.74,0.0,inf,1.04
галичини,галичин,36,594,5,65.74,0.0,inf,0.84
таро,тар,5,143,4,62.89,0.0,inf,2.8
пізда,пізда,14,636,3,62.77,0.0,inf,0.47
пекло,пекл,6,877,5,62.53,0.0,inf,0.57
тойс,тойс,6,842,5,62.53,0.0,inf,0.59
гур,гур,16,331,1,59.31,0.0,inf,0.3
brand,brand,100,661,5,58.83,0.0,inf,0.76
rype,rype,1,1,1,58.61,0.0,inf,100.0
фото,фот,47,1326,7,58.33,0.0,inf,0.53
рок,рок,94,580,4,58.02,0.0,inf,0.69
stlv,stlv,6,783,5,57.77,0.0,inf,0.64
безвісти,безвіст,11,340,4,56.66,0.0,inf,1.18
зниклих,зникл,12,343,4,56.66,0.0,inf,1.17
