word,stem,n_terms,impressions,clicks,cost,conversions,CPA,CTR_%
ренж,ренж,1,6,1,12.94,0.0,inf,16.67
мілітарі,мілітарі,33,457,3,12.75,0.0,inf,0.66
всі,всі,4,32,1,12.08,0.0,inf,3.12
свої,свої,3,30,1,12.08,0.0,inf,3.33
зіпка,зіпка,17,101,1,12.01,0.0,inf,0.99
багги,багг,21,50,1,11.68,0.0,inf,2.0
донбасса,донбасс,14,77,1,11.63,0.0,inf,1.3
индастриз,индастриз,4,11,1,11.62,0.0,inf,9.09
бренд,бренд,77,224,1,11.52,0.0,inf,0.45
дурнев,дурн,2,55,2,11.44,0.0,inf,3.64
шоп,шоп,27,112,2,11.44,0.0,inf,1.79
норд,норд,28,309,2,11.4,0.0,inf,0.65
забой,заб,6,27,1,11.3,0.0,inf,3.7
вишивкою,вишивк,11,51,2,11.21,0.0,inf,3.92
безвісти,безвіст,2,4,1,11.03,0.0,inf,25.0
зниклих,зникл,2,4,1,11.03,0.0,inf,25.0
розвідки,розвідк,4,36,2,11.01,0.0,inf,5.56
смеш,смеш,2,2,1,10.98,0.0,inf,50.0
peclo,peclo,1,2,1,10.63,0.0,inf,50.0
toys,toys,5,223,1,10.63,0.0,inf,0.45
riot,riot,22,334,2,10.47,0.0,inf,0.6
онлайн,онлайн,2,6,1,10.27,0.0,inf,16.67
свастоне,свастон,23,407,1,10.18,0.0,inf,0.25
прикольним,прикольн,6,12,1,10.13,0.0,inf,8.33
nord,nord,22,291,3,9.73,0.0,inf,1.03
серая,сер,9,10,1,9.64,0.0,inf,10.0
картель,картел,3,73,1,9.51,0.0,inf,1.37
статуетка,статуетк,1,2,1,9.28,0.0,inf,50.0
george,george,1,2,1,9.23,0.0,inf,50.0
паркур,паркур,2,7,1,9.06,0.0,inf,14.29
замку,замк,20,46,1,8.93,0.0,inf,2.17
прапорі,прапорі,3,37,1,8.92,0.0,inf,2.7
друк,друк,9,56,1,8.92,0.0,inf,1.79
застібці,застібці,2,5,1,8.89,0.0,inf,20.0
готика,готик,2,18,1,8.63,0.0,inf,5.56
depot,depot,1,3,1,8.56,0.0,inf,33.33
cuprum,cuprum,1,3,1,8.56,0.0,inf,33.33
риот,риот,9,85,4,8.36,0.0,inf,4.71
замовити,замовит,13,253,1,8.15,0.0,inf,0.4
логотипом,логотип,6,11,1,8.15,0.0,inf,9.09
maverick,maverick,5,59,1,8.13,0.0,inf,1.69
костюм,костюм,50,91,1,7.92,0.0,inf,1.1
мінімальних,мінімальн,1,3,1,7.79,0.0,inf,33.33
територія,територі,1,3,1,7.79,0.0,inf,33.33
цін,цін,1,3,1,7.79,0.0,inf,33.33
стяг,стяг,2,43,1,7.72,0.0,inf,2.33
скеля,скел,6,55,1,7.65,0.0,inf,1.82
молодіжні,молодіжні,3,6,1,7.52,0.0,inf,16.67
стіну,стіну,6,200,2,7.12,0.0,inf,1.0
райдивижен,райдивиж,1,6,1,7.0,0.0,inf,16.67
патасовка,патасовк,1,1,1,6.56,0.0,inf,100.0
русоріз,русоріз,6,39,2,6.51,0.0,inf,5.13
дснс,дснс,53,165,1,6.49,0.0,inf,0.61
набір,набір,2,2,1,6.49,0.0,inf,50.0
нації,нації,4,37,1,6.36,0.0,inf,2.7
ідея,іде,4,37,1,6.36,0.0,inf,2.7
гонор,гонор,5,21,1,6.17,0.0,inf,4.76
дівіжн,дівіжн,16,144,1,6.14,0.0,inf,0.69
ріот,ріот,8,69,1,6.14,0.0,inf,1.45
блискавці,блискавці,22,87,1,5.8,0.0,inf,1.15
2026,2026,3,3,1,5.75,0.0,inf,33.33
модні,модні,2,2,1,5.75,0.0,inf,50.0
джоггеры,джоггер,7,11,1,5.58,0.0,inf,9.09
феминиста,феминист,1,1,1,5.42,0.0,inf,100.0
подмост,подмост,9,57,1,5.34,0.0,inf,1.75
скейтбординг,скейтбординг,3,20,1,5.34,0.0,inf,5.0
кроя,кро,18,35,1,5.32,0.0,inf,2.86
свободного,свободн,15,26,1,5.32,0.0,inf,3.85
without,without,2,4,1,5.3,0.0,inf,25.0
фото,фот,8,35,1,5.06,0.0,inf,2.86
тактичне,тактичн,16,94,1,5.03,0.0,inf,1.06
ріж,ріж,3,7,1,4.88,0.0,inf,14.29
русню,русн,3,7,1,4.88,0.0,inf,14.29
гарда,гард,7,43,1,4.48,0.0,inf,2.33
олд,олд,4,11,1,4.31,0.0,inf,9.09
мани,ман,3,4,1,4.31,0.0,inf,25.0
смерть,смерт,16,44,1,4.09,0.0,inf,2.27
небес,небес,1,1,1,4.09,0.0,inf,100.0
токмачка,токмачк,2,6,1,4.08,0.0,inf,16.67
малая,мал,2,6,1,4.08,0.0,inf,16.67
riotdivision,riotdivision,3,49,1,3.98,0.0,inf,2.04
honorovi,honorovi,5,244,1,3.86,0.0,inf,0.41
зсу,зсу,33,187,1,3.74,0.0,inf,0.53
acid,acid,2,5,1,3.73,0.0,inf,20.0
bath,bath,1,3,1,3.73,0.0,inf,33.33
shirt,shirt,45,79,1,3.73,0.0,inf,1.27
флисе,флис,13,33,1,3.49,0.0,inf,3.03
прямі,прямі,14,47,1,3.28,0.0,inf,2.13
зимові,зимові,9,15,1,3.28,0.0,inf,6.67
посадка,посадк,3,8,1,2.86,0.0,inf,12.5
флагштока,флагшток,16,31,2,2.68,0.0,inf,6.45
white,white,5,16,1,2.59,0.0,inf,6.25
ukraine,ukraine,16,30,1,2.59,0.0,inf,3.33
boy,boy,5,21,1,2.59,0.0,inf,4.76
emo,emo,1,3,1,2.35,0.0,inf,33.33
again,again,2,4,1,2.35,0.0,inf,25.0
great,great,1,3,1,2.35,0.0,inf,33.33
make,make,1,3,1,2.35,0.0,inf,33.33
літня,літня,1,1,1,2.09,0.0,inf,100.0
кріплення,кріплен,4,15,1,1.75,0.0,inf,6.67
потасовка,потасовк,11,76,1,1.5,0.0,inf,1.32
стрейч,стрейч,1,1,1,1.43,0.0,inf,100.0
больших,больш,19,33,1,1.43,0.0,inf,3.03
размеров,размер,22,37,1,1.43,0.0,inf,2.7
джинсы,джинс,24,28,1,1.43,0.0,inf,3.57
крепление,креплен,1,1,1,1.41,0.0,inf,100.0
спине,спин,16,61,1,1.31,0.0,inf,1.64
закріпити,закріпит,1,6,1,1.27,0.0,inf,16.67
командир,командир,1,10,1,0.83,0.0,inf,10.0
столом,стол,1,23,1,0.49,0.0,inf,4.35
смерті,смерті,1,23,1,0.49,0.0,inf,4.35
azov,azov,11,21,0,0.0,0.0,inf,0.0
one,one,5,12,0,0.0,0.0,inf,0.0
baba,baba,1,2,0,0.0,0.0,inf,0.0
yaga,yaga,1,2,0,0.0,0.0,inf,0.0
babai,babai,1,2,0,0.0,0.0,inf,0.0
babymetal,babymetal,1,1,0,0.0,0.0,inf,0.0
print,print,4,11,0,0.0,0.0,inf,0.0
back,back,1,1,0,0.0,0.0,inf,0.0
company,company,34,399,0,0.0,0.0,inf,0.0
bad,bad,12,49,0,0.0,0.0,inf,0.0
каталог,каталог,1,7,0,0.0,0.0,inf,0.0
boys,boys,16,381,0,0.0,0.0,inf,0.0
brand,brand,13,77,0,0.0,0.0,inf,0.0
одежда,одежд,77,169,0,0.0,0.0,inf,0.0
monday,monday,1,1,0,0.0,0.0,inf,0.0
omens,omens,3,9,0,0.0,0.0,inf,0.0
jeans,jeans,1,1,0,0.0,0.0,inf,0.0
baggy,baggy,39,81,0,0.0,0.0,inf,0.0
jogger,jogger,4,8,0,0.0,0.0,inf,0.0
rotation,rotation,2,3,0,0.0,0.0,inf,0.0
joggers,joggers,9,14,0,0.0,0.0,inf,0.0
women,women,1,1,0,0.0,0.0,inf,0.0
sweatpants,sweatpants,20,27,0,0.0,0.0,inf,0.0
gym,gym,3,3,0,0.0,0.0,inf,0.0
спортивки,спортивк,18,46,0,0.0,0.0,inf,0.0
balak,balak,2,11,0,0.0,0.0,inf,0.0
wear,wear,15,97,0,0.0,0.0,inf,0.0
balakwear,balakwear,1,2,0,0.0,0.0,inf,0.0
balenciaga,balenciaga,3,3,0,0.0,0.0,inf,0.0
bambas,bambas,3,3,0,0.0,0.0,inf,0.0
bambass,bambass,4,15,0,0.0,0.0,inf,0.0
ucrania,ucrania,1,1,0,0.0,0.0,inf,0.0
escudo,escudo,1,1,0,0.0,0.0,inf,0.0
con,con,1,1,0,0.0,0.0,inf,0.0
bandera,bandera,3,8,0,0.0,0.0,inf,0.0
banderas,banderas,1,7,0,0.0,0.0,inf,0.0
barricade,barricade,2,4,0,0.0,0.0,inf,0.0
base,base,1,1,0,0.0,0.0,inf,0.0
art,art,2,3,0,0.0,0.0,inf,0.0
baseartua,baseartua,1,9,0,0.0,0.0,inf,0.0
army,army,2,10,0,0.0,0.0,inf,0.0
batart,batart,1,9,0,0.0,0.0,inf,0.0
batcat,batcat,1,2,0,0.0,0.0,inf,0.0
bathory,bathory,1,1,0,0.0,0.0,inf,0.0
bazalook,bazalook,1,5,0,0.0,0.0,inf,0.0
bazhane,bazhane,1,1,0,0.0,0.0,inf,0.0
btq,btq,1,1,0,0.0,0.0,inf,0.0
design,design,3,4,0,0.0,0.0,inf,0.0
begentelman,begentelman,1,1,0,0.0,0.0,inf,0.0
beloyar,beloyar,1,1,0,0.0,0.0,inf,0.0
benya,benya,3,21,0,0.0,0.0,inf,0.0
zubrik,zubrik,3,21,0,0.0,0.0,inf,0.0
benyazubrik,benyazubrik,1,2,0,0.0,0.0,inf,0.0
украина,украин,43,81,0,0.0,0.0,inf,0.0
billie,billie,1,2,0,0.0,0.0,inf,0.0
eilish,eilish,1,2,0,0.0,0.0,inf,0.0
bershka,bershka,4,5,0,0.0,0.0,inf,0.0
best,best,1,1,0,0.0,0.0,inf,0.0
best4u,best4u,1,4,0,0.0,0.0,inf,0.0
best4you,best4you,1,1,0,0.0,0.0,inf,0.0
bezet,bezet,1,5,0,0.0,0.0,inf,0.0
bezlad,bezlad,2,5,0,0.0,0.0,inf,0.0
bicoop,bicoop,1,1,0,0.0,0.0,inf,0.0
big,big,4,5,0,0.0,0.0,inf,0.0
boss,boss,2,2,0,0.0,0.0,inf,0.0
sam,sam,3,4,0,0.0,0.0,inf,0.0
bigboss,bigboss,1,1,0,0.0,0.0,inf,0.0
bigsam,bigsam,1,1,0,0.0,0.0,inf,0.0
bilskirnir,bilskirnir,1,1,0,0.0,0.0,inf,0.0
black,black,17,36,0,0.0,0.0,inf,0.0
pant,pant,1,1,0,0.0,0.0,inf,0.0
heavyweight,heavyweight,1,1,0,0.0,0.0,inf,0.0
limit,limit,2,12,0,0.0,0.0,inf,0.0
metal,metal,7,11,0,0.0,0.0,inf,0.0
wide,wide,8,9,0,0.0,0.0,inf,0.0
leg,leg,11,13,0,0.0,0.0,inf,0.0
00s,00s,1,1,0,0.0,0.0,inf,0.0
sea,sea,1,3,0,0.0,0.0,inf,0.0
tongue,tongue,1,1,0,0.0,0.0,inf,0.0
sweats,sweats,2,4,0,0.0,0.0,inf,0.0
uncuffed,uncuffed,2,4,0,0.0,0.0,inf,0.0
blacksugar,blacksugar,1,4,0,0.0,0.0,inf,0.0
blancoone,blancoone,1,1,0,0.0,0.0,inf,0.0
blank,blank,1,2,0,0.0,0.0,inf,0.0
blvck,blvck,1,3,0,0.0,0.0,inf,0.0
bmth,bmth,2,3,0,0.0,0.0,inf,0.0
body,body,1,1,0,0.0,0.0,inf,0.0
count,count,1,1,0,0.0,0.0,inf,0.0
boohooman,boohooman,1,2,0,0.0,0.0,inf,0.0
booriva,booriva,1,3,0,0.0,0.0,inf,0.0
bored,bored,1,4,0,0.0,0.0,inf,0.0
boundaries,boundaries,1,2,0,0.0,0.0,inf,0.0
boxraw,boxraw,1,1,0,0.0,0.0,inf,0.0
stoker,stoker,1,1,0,0.0,0.0,inf,0.0
dracula,dracula,1,1,0,0.0,0.0,inf,0.0
bram,bram,1,1,0,0.0,0.0,inf,0.0
element,element,1,1,0,0.0,0.0,inf,0.0
champions,champions,2,2,0,0.0,0.0,inf,0.0
breakfast,breakfast,2,2,0,0.0,0.0,inf,0.0
breathedivinity,breathedivinity,1,1,0,0.0,0.0,inf,0.0
нашивка,нашивк,5,10,0,0.0,0.0,inf,0.0
not,not,2,2,0,0.0,0.0,inf,0.0
brew,brew,1,1,0,0.0,0.0,inf,0.0
bombs,bombs,1,1,0,0.0,0.0,inf,0.0
bring,bring,3,5,0,0.0,0.0,inf,0.0
horizon,horizon,3,5,0,0.0,0.0,inf,0.0
planet,planet,4,10,0,0.0,0.0,inf,0.0
broken,broken,3,4,0,0.0,0.0,inf,0.0
society,society,1,1,0,0.0,0.0,inf,0.0
bronx,bronx,1,1,0,0.0,0.0,inf,0.0
arms,arms,2,5,0,0.0,0.0,inf,0.0
brothers,brothers,3,6,0,0.0,0.0,inf,0.0
apparel,apparel,4,9,0,0.0,0.0,inf,0.0
brutalman,brutalman,1,2,0,0.0,0.0,inf,0.0
buddha,buddha,1,5,0,0.0,0.0,inf,0.0
buymeb,buymeb,1,1,0,0.0,0.0,inf,0.0
byedemox,byedemox,1,1,0,0.0,0.0,inf,0.0
cabanchi,cabanchi,1,3,0,0.0,0.0,inf,0.0
gazer,gazer,1,1,0,0.0,0.0,inf,0.0
caddx,caddx,1,1,0,0.0,0.0,inf,0.0
call,call,1,2,0,0.0,0.0,inf,0.0
duty,duty,1,2,0,0.0,0.0,inf,0.0
calvin,calvin,1,1,0,0.0,0.0,inf,0.0
klein,klein,1,1,0,0.0,0.0,inf,0.0
canada,canada,1,2,0,0.0,0.0,inf,0.0
uni,uni,1,1,0,0.0,0.0,inf,0.0
cap,cap,1,1,0,0.0,0.0,inf,0.0
captheuni,captheuni,1,19,0,0.0,0.0,inf,0.0
carda,carda,1,2,0,0.0,0.0,inf,0.0
wip,wip,1,1,0,0.0,0.0,inf,0.0
zip,zip,22,81,0,0.0,0.0,inf,0.0
carhartt,carhartt,1,1,0,0.0,0.0,inf,0.0
chase,chase,1,1,0,0.0,0.0,inf,0.0
carpenter,carpenter,1,1,0,0.0,0.0,inf,0.0
cartel,cartel,3,8,0,0.0,0.0,inf,0.0
cartel13,cartel13,1,2,0,0.0,0.0,inf,0.0
trend,trend,1,4,0,0.0,0.0,inf,0.0
casual,casual,2,5,0,0.0,0.0,inf,0.0
trends,trends,1,1,0,0.0,0.0,inf,0.0
catcult,catcult,1,1,0,0.0,0.0,inf,0.0
cav,cav,1,1,0,0.0,0.0,inf,0.0
empt,empt,1,1,0,0.0,0.0,inf,0.0
cbg,cbg,1,2,0,0.0,0.0,inf,0.0
clothes,clothes,5,14,0,0.0,0.0,inf,0.0
cdfcnjy,cdfcnjy,1,1,0,0.0,0.0,inf,0.0
cgt,cgt,6,30,0,0.0,0.0,inf,0.0
cher,cher,1,2,0,0.0,0.0,inf,0.0
cher17,cher17,1,1,0,0.0,0.0,inf,0.0
chereshnivska,chereshnivska,1,3,0,0.0,0.0,inf,0.0
chikiss,chikiss,1,3,0,0.0,0.0,inf,0.0
bodom,bodom,2,3,0,0.0,0.0,inf,0.0
children,children,2,3,0,0.0,0.0,inf,0.0
chinese,chinese,1,1,0,0.0,0.0,inf,0.0
chop,chop,1,1,0,0.0,0.0,inf,0.0
christian,christian,1,1,0,0.0,0.0,inf,0.0
clothing,clothing,8,15,0,0.0,0.0,inf,0.0
chrome,chrome,4,7,0,0.0,0.0,inf,0.0
hearts,hearts,4,7,0,0.0,0.0,inf,0.0
chudova,chudova,1,1,0,0.0,0.0,inf,0.0
clonnex,clonnex,1,1,0,0.0,0.0,inf,0.0
coil,coil,1,3,0,0.0,0.0,inf,0.0
cold,cold,4,4,0,0.0,0.0,inf,0.0
thinking,thinking,1,1,0,0.0,0.0,inf,0.0
culture,culture,2,2,0,0.0,0.0,inf,0.0
worldwide,worldwide,1,1,0,0.0,0.0,inf,0.0
buxton,buxton,1,1,0,0.0,0.0,inf,0.0
warm,warm,2,2,0,0.0,0.0,inf,0.0
cole,cole,1,1,0,0.0,0.0,inf,0.0
comeback,comeback,1,1,0,0.0,0.0,inf,0.0
band,band,1,1,0,0.0,0.0,inf,0.0
kid,kid,1,1,0,0.0,0.0,inf,0.0
comfort,comfort,3,3,0,0.0,0.0,inf,0.0
team,team,6,45,0,0.0,0.0,inf,0.0
лонгслів,лонгслів,14,51,0,0.0,0.0,inf,0.0
core,core,2,3,0,0.0,0.0,inf,0.0
coupage,coupage,1,2,0,0.0,0.0,inf,0.0
creative,creative,1,10,0,0.0,0.0,inf,0.0
depo,depo,1,10,0,0.0,0.0,inf,0.0
crest,crest,1,1,0,0.0,0.0,inf,0.0
straight,straight,6,7,0,0.0,0.0,inf,0.0
gymshark,gymshark,6,8,0,0.0,0.0,inf,0.0
crimea,crimea,1,2,0,0.0,0.0,inf,0.0
crop,crop,1,1,0,0.0,0.0,inf,0.0
cropp,cropp,5,7,0,0.0,0.0,inf,0.0
town,town,1,1,0,0.0,0.0,inf,0.0
crusader,crusader,1,1,0,0.0,0.0,inf,0.0
crye,crye,2,2,0,0.0,0.0,inf,0.0
precision,precision,2,2,0,0.0,0.0,inf,0.0
casher,casher,1,1,0,0.0,0.0,inf,0.0
csr,csr,1,1,0,0.0,0.0,inf,0.0
ctrl,ctrl,1,3,0,0.0,0.0,inf,0.0
харьков,харьк,16,37,0,0.0,0.0,inf,0.0
cult,cult,4,115,0,0.0,0.0,inf,0.0
cultoni,cultoni,1,4,0,0.0,0.0,inf,0.0
cupag,cupag,1,1,0,0.0,0.0,inf,0.0
cupage,cupage,2,8,0,0.0,0.0,inf,0.0
custom,custom,3,8,0,0.0,0.0,inf,0.0
customprint,customprint,1,1,0,0.0,0.0,inf,0.0
cypress,cypress,2,2,0,0.0,0.0,inf,0.0
hill,hill,2,2,0,0.0,0.0,inf,0.0
dakhabrakha,dakhabrakha,2,5,0,0.0,0.0,inf,0.0
dangerlyoha,dangerlyoha,1,1,0,0.0,0.0,inf,0.0
fantasy,fantasy,1,5,0,0.0,0.0,inf,0.0
dark,dark,4,10,0,0.0,0.0,inf,0.0
funeral,funeral,1,2,0,0.0,0.0,inf,0.0
tranquillity,tranquillity,1,2,0,0.0,0.0,inf,0.0
dungeon,dungeon,1,8,0,0.0,0.0,inf,0.0
darkest,darkest,1,8,0,0.0,0.0,inf,0.0
darknode,darknode,1,1,0,0.0,0.0,inf,0.0
darkthrone,darkthrone,1,1,0,0.0,0.0,inf,0.0
cdj,cdj,1,3,0,0.0,0.0,inf,0.0
dcs,dcs,1,3,0,0.0,0.0,inf,0.0
dynasty,dynasty,2,24,0,0.0,0.0,inf,0.0
dead,dead,7,57,0,0.0,0.0,inf,0.0
souls,souls,3,28,0,0.0,0.0,inf,0.0
deadish,deadish,1,1,0,0.0,0.0,inf,0.0
studios,studios,2,2,0,0.0,0.0,inf,0.0
death,death,5,6,0,0.0,0.0,inf,0.0
june,june,2,3,0,0.0,0.0,inf,0.0
world,world,3,5,0,0.0,0.0,inf,0.0
deep,deep,1,1,0,0.0,0.0,inf,0.0
deftones,deftones,2,4,0,0.0,0.0,inf,0.0
demode,demode,1,1,0,0.0,0.0,inf,0.0
derzay,derzay,1,2,0,0.0,0.0,inf,0.0
vult,vult,3,4,0,0.0,0.0,inf,0.0
deus,deus,3,4,0,0.0,0.0,inf,0.0
devgru,devgru,1,2,0,0.0,0.0,inf,0.0
advocate,advocate,1,2,0,0.0,0.0,inf,0.0
devil,devil,1,2,0,0.0,0.0,inf,0.0
devildriver,devildriver,1,2,0,0.0,0.0,inf,0.0
diadia,diadia,1,1,0,0.0,0.0,inf,0.0
disaster,disaster,1,2,0,0.0,0.0,inf,0.0
discipline,discipline,1,1,0,0.0,0.0,inf,0.0
disrupt,disrupt,1,1,0,0.0,0.0,inf,0.0
district,district,1,2,0,0.0,0.0,inf,0.0
doberman,doberman,1,1,0,0.0,0.0,inf,0.0
dobermans,dobermans,4,25,0,0.0,0.0,inf,0.0
официальный,официальн,2,12,0,0.0,0.0,inf,0.0
dobroshmot,dobroshmot,1,4,0,0.0,0.0,inf,0.0
dobrovolets,dobrovolets,1,19,0,0.0,0.0,inf,0.0
domrebel,domrebel,1,1,0,0.0,0.0,inf,0.0
domyos,domyos,1,1,0,0.0,0.0,inf,0.0
donbasonia,donbasonia,2,8,0,0.0,0.0,inf,0.0
flag,flag,2,2,0,0.0,0.0,inf,0.0
donetsk,donetsk,2,2,0,0.0,0.0,inf,0.0
dorohedoro,dorohedoro,1,2,0,0.0,0.0,inf,0.0
grenade,grenade,1,3,0,0.0,0.0,inf,0.0
dove,dove,1,3,0,0.0,0.0,inf,0.0
dravos,dravos,1,2,0,0.0,0.0,inf,0.0
dress,dress,2,3,0,0.0,0.0,inf,0.0
code,code,2,3,0,0.0,0.0,inf,0.0
drip,drip,1,2,0,0.0,0.0,inf,0.0
drop,drop,4,7,0,0.0,0.0,inf,0.0
dropdead,dropdead,1,2,0,0.0,0.0,inf,0.0
dropshop,dropshop,1,1,0,0.0,0.0,inf,0.0
buk,buk,1,1,0,0.0,0.0,inf,0.0
dub,dub,1,1,0,0.0,0.0,inf,0.0
dubhumans,dubhumans,1,20,0,0.0,0.0,inf,0.0
side,side,4,8,0,0.0,0.0,inf,0.0
duck,duck,1,4,0,0.0,0.0,inf,0.0
duga,duga,1,1,0,0.0,0.0,inf,0.0
durnev,durnev,1,6,0,0.0,0.0,inf,0.0
dx1364,dx1364,1,1,0,0.0,0.0,inf,0.0
010,010,3,6,0,0.0,0.0,inf,0.0
ebanat,ebanat,1,2,0,0.0,0.0,inf,0.0
ecko,ecko,1,1,0,0.0,0.0,inf,0.0
