Campaign,Date,Impressions,Clicks,Cost,Conversions
Merchant_Shopping,2026-07-03,157,3,43.81,0.0
Merchant_Shopping,2026-07-04,542,13,253.85,0.0
Merchant_Shopping,2026-07-05,1724,25,216.49,0.0
Merchant_Shopping,2026-07-06,1877,34,325.03,4.0
Merchant_Shopping,2026-07-07,1532,25,227.53,6.0
Merchant_Shopping,2026-07-08,4115,50,468.29,25.0
Merchant_Shopping,2026-07-09,6661,62,574.8,0.11
Merchant_Shopping,2026-07-10,5020,43,537.34,0.0
Merchant_Shopping,2026-07-11,3738,58,518.77,3.35
Merchant_Shopping,2026-07-12,6177,55,544.28,0.0
Merchant_Shopping,2026-07-13,7404,63,555.0,1.0
Merchant_Shopping,2026-07-14,4817,62,470.98,1.0
Merchant_Shopping,2026-07-15,5111,63,566.81,3.67
Merchant_Shopping,2026-07-16,7484,81,992.63,1.33
Merchant_Shopping,2026-07-17,9545,91,979.63,0.0
Merchant_Shopping,2026-07-18,11472,102,990.25,5.0
Merchant_Shopping,2026-07-19,15225,119,1213.21,1.0
Merchant_Shopping,2026-07-20,8430,92,1045.41,3.0
Merchant_Shopping,2026-07-21,12652,117,1326.61,1.35
Merchant_Shopping,2026-07-22,11287,120,1294.88,4.03
Merchant_Shopping,2026-07-23,14531,119,1254.95,3.0
Merchant_Shopping,2026-07-24,9296,96,940.83,2.37
Merchant_Shopping,2026-07-25,10254,105,1389.66,5.59
Merchant_Shopping,2026-07-26,11451,115,1238.68,1.0
Merchant_Shopping,2026-07-27,10591,106,1214.91,3.0
Merchant_Shopping,2026-07-28,8620,89,1216.7,1.0
Merchant_Shopping,2026-07-29,7891,97,1213.15,2.09
Merchant_Shopping,2026-07-30,9449,97,962.63,0.0
Merchant_Shopping,2026-07-31,11075,110,1146.22,0.0
Merchant_Shopping,2026-08-01,12788,108,1239.84,1.0
Merchant_Shopping,2026-08-02,12745,100,1240.44,4.96
Merchant_Shopping,2026-08-03,10484,82,1286.73,1.3
Merchant_Shopping,2026-08-04,12201,111,1327.3,2.0
Merchant_Shopping,2026-08-05,15068,122,1854.82,0.55
Merchant_Shopping,2026-08-06,9684,84,804.7,6.27
Merchant_Shopping,2026-08-07,10919,116,1227.2,1.95
Merchant_Shopping,2026-08-08,12740,146,1556.16,1.0
Merchant_Shopping,2026-08-09,9860,108,1173.09,5.0
Merchant_Shopping,2026-08-10,9419,129,1904.6,4.0
Merchant_Shopping,2026-08-11,10983,115,1595.33,2.0
Merchant_Shopping,2026-08-12,15123,131,1634.32,0.0
Merchant_Shopping,2026-08-13,19506,175,2336.11,2.0
Merchant_Shopping,2026-08-14,17237,169,2403.35,4.0
Merchant_Shopping,2026-08-15,9669,107,1085.58,0.0
Merchant_Shopping,2026-08-16,9512,114,1751.86,0.0
Merchant_Shopping,2026-08-17,9649,92,855.4,0.0
Merchant_Shopping,2026-08-18,11357,151,1547.15,1.2
Merchant_Shopping,2026-08-19,7792,92,1004.88,0.08
Merchant_Shopping,2026-08-20,6209,56,550.81,0.05
Merchant_Shopping,2026-08-21,5218,61,475.7,1.0
Merchant_Shopping,2026-08-22,4758,59,474.66,0.95
Merchant_Shopping,2026-08-23,4340,47,369.11,0.0
Merchant_Shopping,2026-08-27,3027,44,251.09,0.0
Merchant_Shopping,2026-08-28,4903,62,438.71,3.0
Merchant_Shopping,2026-08-29,4481,80,680.53,5.0
Merchant_Shopping,2026-08-30,5492,60,467.38,6.67
Merchant_Shopping,2026-08-31,6735,76,696.39,2.33
Merchant_Shopping,2026-09-01,8763,111,1427.81,0.0
Merchant_Shopping,2026-09-02,12483,123,1365.04,1.0
Merchant_Shopping,2026-09-03,16099,172,2154.44,0.0
Merchant_Shopping,2026-09-04,8001,99,1756.84,0.0
Merchant_Shopping,2026-09-05,11764,90,1139.55,2.0
Merchant_Shopping,2026-09-06,7068,76,1080.38,0.0
Merchant_Shopping,2026-09-07,10139,96,1094.86,1.0
