word,stem,n_terms,impressions,clicks,cost,conversions,CPA,CTR_%
прапор,прапор,824,51395,443,6775.18,14.0,483.9,0.86
корогва,корогв,16,50213,299,5036.67,23.784,211.8,0.6
футболка,футболк,5377,36547,370,4167.61,1.0,4167.6,1.01
штани,штан,2903,22871,350,3971.13,10.0,397.1,1.53
чоловічі,чоловічі,852,12652,213,2470.6,5.5,449.2,1.68
худі,худі,1194,22141,252,2231.2,6.876,324.5,1.14
спортивні,спортивні,592,7882,158,1723.93,3.0,574.6,2.0
мужские,мужск,1479,10877,147,1616.64,1.0,1616.6,1.35
флаг,флаг,533,10732,84,1343.26,3.031,443.2,0.78
спортивные,спортивн,878,5656,92,1193.43,5.0,238.7,1.63
худи,худ,1663,15482,142,1165.48,1.0,1165.5,0.92
купити,купит,535,8423,90,1164.61,0.5,2329.2,1.07
принтом,принт,545,6175,83,983.11,0.0,inf,1.34
купить,куп,1121,8911,75,982.95,2.0,491.5,0.84
військових,військов,128,4060,50,733.84,3.0,244.6,1.23
чоловіче,чоловіч,515,6321,64,628.0,1.0,628.0,1.01
широкі,широкі,160,2601,68,594.53,2.0,297.3,2.61
оверсайз,оверсайз,443,3321,46,551.89,0.0,inf,1.39
замовити,замовит,34,2242,14,512.34,0.0,inf,0.62
широкие,широк,285,2513,51,482.67,0.0,inf,2.03
мерч,мерч,643,6227,62,472.49,0.0,inf,1.0
honorovi,honorovi,7,1866,11,468.65,0.0,inf,0.59
corogva,corogva,2,3028,22,441.97,1.352,326.8,0.73
кофта,кофт,1212,7971,59,406.83,1.0,406.8,0.74
жіночі,жіночі,413,2899,37,395.08,0.0,inf,1.28
військові,військові,55,2881,23,391.78,0.0,inf,0.8
донецкой,донецк,61,1839,25,374.99,1.031,363.7,1.36
области,област,57,1846,27,354.13,1.031,343.5,1.46
зип,зип,189,3304,44,342.09,0.0,inf,1.33
зіп,зіп,95,4291,49,341.59,0.08,4266.7,1.14
одяг,одяг,721,3785,26,325.77,0.0,inf,0.69
вампір,вампір,17,820,27,291.07,0.046,6328.7,3.29
магазин,магазин,504,2959,27,280.08,1.0,280.1,0.91
военным,воен,88,1004,18,273.67,0.0,inf,1.79
черные,черн,391,2148,24,269.83,1.0,269.8,1.12
женские,женск,458,1440,24,269.16,0.0,inf,1.67
брюки,брюк,298,913,20,259.34,0.0,inf,2.19
мілітарі,мілітарі,53,1962,13,234.77,0.0,inf,0.66
замовлення,замовлен,34,2002,10,221.02,0.0,inf,0.5
дрон,дрон,21,572,11,217.93,0.0,inf,1.92
division,division,101,5486,38,212.17,0.0,inf,0.69
донбас,донбас,27,563,11,203.76,0.0,inf,1.95
club,club,82,2806,18,199.58,0.0,inf,0.64
заказ,заказ,31,700,8,196.94,0.0,inf,1.14
зіпка,зіпка,80,1884,20,186.03,0.25,744.1,1.06
дснс,дснс,114,807,17,184.81,0.0,inf,2.11
ukraine,ukraine,83,274,7,166.09,0.0,inf,2.55
жіноча,жіноч,239,1397,17,155.9,1.0,155.9,1.22
толстовка,толстовк,357,2031,20,154.89,0.0,inf,0.98
