Campaign,Date,Impressions,Clicks,Cost,Conversions
Merchant_Performance Max-1,2026-08-30,2169,42,230.63,2.0
Merchant_Performance Max-1,2026-08-31,1747,50,151.57,1.0
Merchant_Performance Max-1,2026-09-01,1997,60,241.1,0.0
Merchant_Performance Max-1,2026-09-02,2596,75,1005.57,3.0
Merchant_Performance Max-1,2026-09-03,2922,76,2352.12,1.0
Merchant_Performance Max-1,2026-09-04,5817,90,477.78,0.0
Merchant_Performance Max-1,2026-09-05,2716,77,806.19,0.0
Merchant_Performance Max-1,2026-09-06,2410,58,588.74,0.0
Merchant_Performance Max-1,2026-09-07,3410,57,634.04,0.0
Merchant_Performance Max-1,2026-09-08,1953,37,565.93,0.0
