word,stem,n_terms,impressions,clicks,cost,conversions,CPA,CTR_%
прапор,прапор,796,46093,396,6111.26,13.0,470.1,0.86
корогва,корогв,16,43219,263,4212.35,23.784,177.1,0.61
футболка,футболк,5050,32408,338,3843.04,1.0,3843.0,1.04
штани,штан,2688,19560,297,3124.31,10.0,312.4,1.52
чоловічі,чоловічі,803,10508,169,1705.52,5.5,310.1,1.61
худі,худі,1076,17450,188,1487.01,6.876,216.3,1.08
мужские,мужск,1374,9584,132,1468.29,1.0,1468.3,1.38
спортивні,спортивні,563,6690,135,1281.51,3.0,427.2,2.02
флаг,флаг,505,9418,77,1201.39,3.031,396.4,0.82
спортивные,спортивн,802,4873,80,1006.58,5.0,201.3,1.64
купити,купит,495,7238,77,994.24,0.5,1988.5,1.06
худи,худ,1511,13212,120,927.05,1.0,927.0,0.91
принтом,принт,495,4954,66,817.27,0.0,inf,1.33
купить,куп,1023,7795,63,773.21,2.0,386.6,0.81
військових,військов,113,3340,39,605.33,3.0,201.8,1.17
чоловіче,чоловіч,486,5618,56,556.58,1.0,556.6,1.0
замовити,замовит,32,1989,13,504.19,0.0,inf,0.65
оверсайз,оверсайз,418,2750,39,468.09,0.0,inf,1.42
honorovi,honorovi,7,1622,10,464.79,0.0,inf,0.62
широкі,широкі,157,2199,56,460.28,2.0,230.1,2.55
мерч,мерч,595,5259,55,419.25,0.0,inf,1.05
кофта,кофт,1120,7236,56,386.19,1.0,386.2,0.77
жіночі,жіночі,385,2467,32,354.8,0.0,inf,1.3
широкие,широк,274,2138,43,322.62,0.0,inf,2.01
одяг,одяг,671,3364,25,309.6,0.0,inf,0.74
донецкой,донецк,55,1574,24,304.57,1.031,295.4,1.52
области,област,51,1582,25,301.71,1.031,292.6,1.58
corogva,corogva,2,2762,21,299.23,1.352,221.3,0.76
військові,військові,49,2172,18,280.22,0.0,inf,0.83
зіп,зіп,93,3953,41,261.28,0.08,3263.6,1.04
брюки,брюк,279,865,20,259.34,0.0,inf,2.31
магазин,магазин,449,2675,24,257.12,1.0,257.1,0.9
черные,черн,360,1888,23,256.16,1.0,256.2,1.22
вампір,вампір,17,670,22,250.69,0.046,5450.7,3.28
зип,зип,182,3004,35,237.79,0.0,inf,1.17
женские,женск,411,1231,20,231.14,0.0,inf,1.62
мілітарі,мілітарі,47,1505,10,222.02,0.0,inf,0.66
замовлення,замовлен,32,1800,10,221.02,0.0,inf,0.56
донбас,донбас,25,475,11,203.76,0.0,inf,2.32
военным,воен,73,782,13,202.17,0.0,inf,1.66
club,club,75,2310,18,199.58,0.0,inf,0.78
дрона,дрон,19,517,9,192.67,0.0,inf,1.74
division,division,94,4853,33,191.97,0.0,inf,0.68
заказ,заказ,30,644,6,180.5,0.0,inf,0.93
дснс,дснс,107,642,16,178.32,0.0,inf,2.49
зіпка,зіпка,79,1783,19,174.02,0.25,696.1,1.07
ukraine,ukraine,77,244,6,163.5,0.0,inf,2.46
гуд,гуд,8,970,10,141.34,1.0,141.3,1.03
бойс,бойс,9,973,10,141.34,1.0,141.3,1.03
зсу,зсу,70,1213,15,139.27,2.0,69.6,1.24
клаб,клаб,12,842,9,131.66,1.0,131.7,1.07
свастон,свастон,57,2975,8,127.69,0.0,inf,0.27
україни,україн,193,1591,8,127.19,0.0,inf,0.5
толстовка,толстовк,293,1611,16,124.46,0.0,inf,0.99
жіноча,жіноч,206,1141,13,120.66,1.0,120.7,1.14
чорні,чорні,149,966,8,119.59,0.0,inf,0.83
медик,медик,27,200,11,119.49,0.0,inf,5.5
group,group,59,1739,13,118.38,0.0,inf,0.75
донецької,донецької,9,1016,11,116.87,0.0,inf,1.08
чорна,чорн,159,1180,10,114.1,1.0,114.1,0.85
toys,toys,8,1085,5,113.01,0.0,inf,0.46
peklo,peklo,8,1121,5,113.01,0.0,inf,0.45
baggy,baggy,115,426,7,112.35,0.0,inf,1.64
зипка,зипк,258,2892,20,109.93,0.0,inf,0.69
генг,генг,14,485,4,105.38,0.0,inf,0.82
оптимус,оптимус,31,670,4,105.17,0.0,inf,0.6
одежда,одежд,540,1575,19,104.88,0.0,inf,1.21
прапорів,прапорів,27,558,5,103.36,0.0,inf,0.9
подмост,подмост,28,881,8,102.39,1.0,102.4,0.91
прямі,прямі,31,300,8,102.23,1.0,102.2,2.67
області,області,11,1025,9,100.95,0.0,inf,0.88
нема,нем,3,6,1,97.75,0.0,inf,16.67
самурая,самур,3,3,1,97.75,0.0,inf,33.33
тіко,тіко,2,2,1,97.75,0.0,inf,50.0
пульт,пульт,3,3,1,97.75,0.0,inf,33.33
заколот,заколот,14,604,10,97.69,0.0,inf,1.66
riot,riot,49,3476,16,94.15,0.0,inf,0.46
дивижн,дивижн,45,1905,21,94.1,0.0,inf,1.1
блискавці,блискавці,37,646,12,90.85,1.0,90.8,1.86
нрк,нрк,13,231,10,90.3,0.0,inf,4.33
промінь,промін,4,5,1,89.1,0.0,inf,20.0
good,good,32,1507,9,86.59,0.0,inf,0.6
русоріз,русоріз,9,564,20,84.94,0.0,inf,3.55
оптімус,оптімус,6,283,3,82.59,0.0,inf,1.06
boys,boys,35,1541,10,82.56,0.0,inf,0.65
ганг,ганг,21,433,3,82.38,0.0,inf,0.69
украина,украин,257,919,8,82.23,0.0,inf,0.87
українського,українськ,128,977,11,79.67,0.0,inf,1.13
норд,норд,37,1515,16,79.28,0.0,inf,1.06
груп,груп,40,1361,10,75.78,0.0,inf,0.73
шорти,шорт,208,507,8,73.38,0.0,inf,1.58
dubhumans,dubhumans,3,279,3,73.16,0.0,inf,1.08
бренд,бренд,273,1480,8,73.01,0.0,inf,0.54
company,company,62,1619,10,72.92,0.0,inf,0.62
дронщики,дронщик,4,114,6,72.86,0.0,inf,5.26
military,military,33,364,7,72.54,0.0,inf,1.92
goodboys,goodboys,1,127,3,72.28,0.0,inf,2.36
слабким,слабк,16,771,4,72.18,0.0,inf,0.52
стену,стен,19,546,7,70.14,0.0,inf,1.28
