Campaign,Date,Impressions,Clicks,Cost,Conversions
search / all injuries / kw -  la specific,2026-06-05,5,0,0.0,0.0
search / all injuries / kw -  la specific,2026-06-06,101,6,6.2,0.0
search / all injuries / kw -  la specific,2026-06-07,57,2,1.63,0.0
search / all injuries / kw -  la specific,2026-06-08,2,0,0.0,0.0
search / all injuries / kw -  la specific,2026-06-09,7,2,2.68,0.0
search / all injuries / kw -  la specific,2026-06-10,46,2,5.39,0.0
search / all injuries / kw -  la specific,2026-06-11,17,0,0.0,0.0
search / all injuries / kw -  la specific,2026-06-12,39,4,1.1,0.0
search / all injuries / kw -  la specific,2026-06-13,14,0,0.0,0.0
search / all injuries / kw -  la specific,2026-06-14,1,0,0.0,0.0
search / all injuries / kw -  la specific,2026-06-16,4,1,1.34,0.0
search / all injuries / kw -  la specific,2026-08-18,10,0,0.0,0.0
