ad_group_id,campaign_id,adgroup_name,max_bid,context_hints
"adgrp_6a886a795bf88192a243c0dcf4facf9a","cmpn_6a7b1758f9508192b009ef9839299108","Rideshare Accidents (Uber/Lyft) / landverpersonalinjury.com","8.00","[""user was injured in an Uber or Lyft accident and is looking for legal help in Los Angeles or Southern California"",""user needs a rideshare accident attorney in Los Angeles or Southern California"",""user is researching contingency fee lawyers for a rideshare accident claim in Los Angeles or Southern California""]"
"adgrp_6a886a5397208192948ddb305c92567b","cmpn_6a7b1758f9508192b009ef9839299108","Slip and Fall / landverpersonalinjury.com","8.00","[""user was injured in a slip and fall accident and is looking for legal help in Los Angeles or Southern California"",""user needs a slip and fall attorney in Los Angeles or Southern California"",""user is researching contingency fee lawyers for a slip and fall claim in Los Angeles or Southern California""]"
"adgrp_6a886a25c00881928dd94ee42540b5bb","cmpn_6a7b1758f9508192b009ef9839299108","Pedestrian Accidents / landverpersonalinjury.com","8.00","[""user was hit by a car as a pedestrian and is looking for legal help in Los Angeles or Southern California"",""user needs a pedestrian accident attorney in Los Angeles or Southern California"",""user is researching contingency fee lawyers for a pedestrian accident claim in Los Angeles or Southern California""]"
"adgrp_6a8869feae008192b24aa80d15a8d446","cmpn_6a7b1758f9508192b009ef9839299108","Bicycle Accidents / landverpersonalinjury.com","7.00","[""user was injured in a bicycle accident and is looking for legal help in Los Angeles or Southern California"",""user needs a bicycle accident attorney in Los Angeles or Southern California"",""user is researching contingency fee lawyers for a bicycle accident claim in Los Angeles or Southern California""]"
"adgrp_6a8869b2a28481929d033db12d1da643","cmpn_6a7b1758f9508192b009ef9839299108","Bus Accidents / landverpersonalinjury.com","8.00","[""user was injured in a bicycle accident and is looking for legal help in Los Angeles or Southern California"",""user needs a bicycle accident attorney in Los Angeles or Southern California"",""user is researching contingency fee lawyers for a bicycle accident claim in Los Angeles or Southern California""]"
"adgrp_6a886994267c8192810f5cae7ffda13c","cmpn_6a7b1758f9508192b009ef9839299108","Motorcycle Accidents / landverpersonalinjury.com","8.00","[""user was injured in a motorcycle accident and is looking for legal help in Los Angeles or Southern California"",""user needs a motorcycle accident attorney in Los Angeles or Southern California"",""user is researching contingency fee lawyers for a motorcycle accident claim in Los Angeles or Southern California""]"
"adgrp_6a8869451f308192941498bf69f65c1c","cmpn_6a7b1758f9508192b009ef9839299108","Truck Accidents  / landverpersonalinjury.com","8.00","[""user was injured in a truck or 18-wheeler accident and is looking for legal help in Los Angeles or Southern California"",""user needs a truck accident attorney in Los Angeles or Southern California"",""user is researching contingency fee lawyers for a truck accident claim in Los Angeles or Southern California""]"
"adgrp_6a8867d6f3008192ac40252e51e50c7e","cmpn_6a7b1758f9508192b009ef9839299108","Car Accidents / landverpersonalinjury.com","8.00","[""user was injured in a car crash and is looking for legal help in Los Angeles or Southern California"",""user needs a car injury attorney in Los Angeles or Southern California"",""user is researching contingency fee lawyers for a car accident claim in Los Angeles or Southern California""]"
"adgrp_d6d80682a5bc819284bbdd2e04d3668d","cmpn_6a7b1758f9508192b009ef9839299108","Landver Test 2","5.00","[""user was injured in a car crash and is looking for legal help in Los Angeles or Southern California"",""user needs a car injury attorney in Los Angeles or Southern California"",""user is researching contingency fee lawyers for a car accident claim in Los Angeles or Southern California""]"
"adgrp_0d1f7e85771c8192841dda929d45196f","cmpn_6a7b1758f9508192b009ef9839299108","Landver - Main Page","","[""user was in a car accident in California and wants to know what to do next"",""user is asking whether they need a lawyer after a car accident"",""user wants a free consultation for a personal injury claim in California"",""user is asking how much their car accident case may be worth"",""user was injured in a car crash and is looking for legal help"",""user is comparing personal injury lawyers in California"",""user wants to know if they have a case after a car accident"",""user is asking about compensation after being hit by another driver"",""user needs a personal injury attorney in Los Angeles or Southern California"",""user is researching contingency fee lawyers for a car accident claim""]"
"adgrp_de418dffd3948192a0876705c3209c7d","cmpn_6a7b1758f9508192b009ef9839299108","What to Do After a Car Accident","","[""user was in a car accident in California and wants to know what to do next"",""user is asking whether they need a lawyer after a car accident"",""user wants a free consultation for a car accident injury in California"",""user is asking how much their car accident case may be worth"",""user was injured in a car crash and is looking for legal help"",""user is comparing car crash injury lawyers in California"",""user wants to know if they have a case after a car accident"",""user is asking about compensation after being hit by another driver"",""user needs a car crashinjury attorney in Los Angeles or Southern California"",""user is researching contingency fee lawyers for a car accident claim""]"
"adgrp_9e5d71395c808192bfaeb60713373f3d","cmpn_6a7b1758f9508192b009ef9839299108","Who Pays Medical Bills","","[""user was in a car accident in California and wants to know what to do next"",""user is asking whether they need a lawyer after a car accident"",""user wants a free consultation for a car accident injury in California"",""user is asking how much their car accident case may be worth"",""user was injured in a car crash and is looking for legal help"",""user is comparing car crash injury lawyers in California"",""user wants to know if they have a case after a car accident"",""user is asking about compensation after being hit by another driver"",""user needs a car crashinjury attorney in Los Angeles or Southern California"",""user is researching contingency fee lawyers for a car accident claim""]"
"adgrp_9808624c53d08192875a471a08511f5e","cmpn_6a7b1758f9508192b009ef9839299108","Partly at Fault","","[""user was in a car accident in California and wants to know what to do next"",""user is asking whether they need a lawyer after a car accident"",""user wants a free consultation for a car accident injury in California"",""user is asking how much their car accident case may be worth"",""user was injured in a car crash and is looking for legal help"",""user is comparing car crash injury lawyers in California"",""user wants to know if they have a case after a car accident"",""user is asking about compensation after being hit by another driver"",""user needs a car crashinjury attorney in Los Angeles or Southern California"",""user is researching contingency fee lawyers for a car accident claim""]"
"adgrp_6a7b233af2288192848976a0ecd25dc9","cmpn_6a7b1758f9508192b009ef9839299108","Does Car Insurance Follow the Car or Driver?","2.00","[]"
"adgrp_6a7b20df13a48192ae144a20ec65af0f","cmpn_6a7b1758f9508192b009ef9839299108","free guide","2.00","[]"
"adgrp_6a7b175a02b081928b74795b1342959b","cmpn_6a7b1758f9508192b009ef9839299108","Services Offer","3.00","[]"
