Date	CampaignId	CampaignName	Impressions	Clicks	Cost	Conversions_222490461_AUTO	Conversions_40404508_AUTO	Bounces
2026-07-11	76937120	поиск / бренд / мск	1	0	0.00	--	--	0
2026-07-11	90292772	поиск / егэ+огэ / цел_гео	1	0	0.00	--	--	0
2026-07-11	91392732	поиск / егэ+огэ / коммерс	16	4	1131.75	--	--	0
2026-07-11	118255480	поиск / егэ+огэ / автотаргетинг / Ж 35-44	37	2	245.92	--	--	1
2026-07-11	710926114	мк / егэ / набор 26 / 2606-1	386	6	0.00	--	--	2
2026-07-12	76937120	поиск / бренд / мск	1	1	27.30	--	--	0
2026-07-12	90292772	поиск / егэ+огэ / цел_гео	3	0	0.00	--	--	0
2026-07-12	91392732	поиск / егэ+огэ / коммерс	25	3	583.48	--	--	0
2026-07-12	118255480	поиск / егэ+огэ / автотаргетинг / Ж 35-44	41	1	113.22	--	--	0
2026-07-12	710926114	мк / егэ / набор 26 / 2606-1	329	5	0.00	--	--	3
2026-07-13	76937120	поиск / бренд / мск	2	1	216.61	--	--	0
2026-07-13	90292772	поиск / егэ+огэ / цел_гео	8	3	1151.50	--	--	0
2026-07-13	91392732	поиск / егэ+огэ / коммерс	10	1	61.91	--	--	1
2026-07-13	118255480	поиск / егэ+огэ / автотаргетинг / Ж 35-44	29	1	75.91	--	--	0
2026-07-13	710926114	мк / егэ / набор 26 / 2606-1	1441	19	0.00	--	--	5
2026-07-14	76937120	поиск / бренд / мск	14	3	150.69	--	--	0
2026-07-14	90292772	поиск / егэ+огэ / цел_гео	6	1	447.86	--	--	0
2026-07-14	91392732	поиск / егэ+огэ / коммерс	15	0	0.00	--	--	0
2026-07-14	118255480	поиск / егэ+огэ / автотаргетинг / Ж 35-44	37	2	239.59	--	--	0
2026-07-14	710926114	мк / егэ / набор 26 / 2606-1	1070	5	0.00	--	--	3
2026-07-15	76937120	поиск / бренд / мск	23	1	104.08	--	--	1
2026-07-15	90292772	поиск / егэ+огэ / цел_гео	3	2	329.87	--	--	0
2026-07-15	91392732	поиск / егэ+огэ / коммерс	18	5	956.00	--	--	2
2026-07-15	118255480	поиск / егэ+огэ / автотаргетинг / Ж 35-44	51	2	136.73	--	--	0
2026-07-15	710926114	мк / егэ / набор 26 / 2606-1	433	7	0.00	--	--	2
2026-07-16	76937120	поиск / бренд / мск	12	2	91.03	--	--	0
2026-07-16	90292772	поиск / егэ+огэ / цел_гео	8	1	635.19	--	--	2
2026-07-16	91392732	поиск / егэ+огэ / коммерс	35	8	1675.47	--	--	0
2026-07-16	118255480	поиск / егэ+огэ / автотаргетинг / Ж 35-44	59	0	0.00	--	--	0
2026-07-16	710926114	мк / егэ / набор 26 / 2606-1	347	9	0.00	--	--	5
2026-07-17	76937120	поиск / бренд / мск	7	2	268.41	--	--	0
2026-07-17	90292772	поиск / егэ+огэ / цел_гео	7	0	0.00	--	--	0
2026-07-17	91392732	поиск / егэ+огэ / коммерс	17	4	1115.63	--	1	1
2026-07-17	118255480	поиск / егэ+огэ / автотаргетинг / Ж 35-44	65	0	0.00	--	--	0
2026-07-17	710926114	мк / егэ / набор 26 / 2606-1	333	7	0.00	--	--	5
