Дата визита,UTM Source,Город,Страна,Достигнутая цель,Визиты
2026-01-06,yandex.promopages,Москва,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2026-03-25,yandex.promopages,Москва,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2026-04-28,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2026-07-11,yandex.promopages,Москва,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2026-01-01,yandex.promopages,Иркутск,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-05,yandex.promopages,Москва,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-09,yandex.promopages,Хабаровск,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-10,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-10,yandex.promopages,Краснодар,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-16,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-17,yandex.promopages,Владимир,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-26,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-02-03,yandex.promopages,Берлин,Германия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-02-09,yandex.promopages,Иркутск,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-02-14,yandex.promopages,Евпатория,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-02-26,yandex.promopages,Коломна,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-02-27,yandex.promopages,Владивосток,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-03-13,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-03-18,yandex.promopages,Владивосток,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-04-15,yandex.promopages,Закаменск,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-04-15,yandex.promopages,Москва,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-04-19,yandex.promopages,Челябинск,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-04-21,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-04-21,yandex.promopages,Краснодар,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-04-22,yandex.promopages,Уфа,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-04-27,yandex.promopages,Санкт-Петербург,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-04-28,yandex.promopages,Якутск,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-11,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-11,yandex.promopages,Вилючинск,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-15,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-16,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-17,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-20,yandex.promopages,Москва,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-25,yandex.promopages,Ставрополь,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-29,yandex.promopages,Курск,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-31,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-06-02,yandex.promopages,Тверь,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-06-11,yandex.promopages,Белгород,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-06-15,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-06-15,yandex.promopages,Чита,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-06-20,yandex.promopages,Кореновск,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-06-29,yandex.promopages,Саратов,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-01,yandex.promopages,Москва,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-02,yandex.promopages,Иркутск,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-17,yandex.promopages,Волгоград,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-17,yandex.promopages,Саратов,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-20,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-21,yandex.promopages,Волгоград,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-22,yandex.promopages,Новосибирск,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-23,yandex.promopages,Новосибирск,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-25,yandex.promopages,Нижний Новгород,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-28,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-29,yandex.promopages,Екатеринбург,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-30,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-08-09,yandex.promopages,Не определено,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-08-11,yandex.promopages,Черкесск,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-08-19,yandex.promopages,Новосибирск,Россия,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
