Дата визита,UTM Source,Город,Страна,Визиты
2026-01-08,yandex.promopages,Не определено,Россия,42
2026-02-25,yandex.promopages,Не определено,Россия,40
2026-03-25,yandex.promopages,Москва,Россия,36
2026-02-26,yandex.promopages,Не определено,Россия,32
2026-01-29,yandex.promopages,Не определено,Россия,27
2026-03-25,yandex.promopages,Не определено,Россия,27
2026-03-09,yandex.promopages,Не определено,Россия,26
2026-01-07,yandex.promopages,Не определено,Россия,24
2026-02-01,yandex.promopages,Не определено,Россия,24
2026-02-26,yandex.promopages,Москва,Россия,15
2026-01-09,yandex.promopages,Не определено,Россия,14
2026-02-27,yandex.promopages,Не определено,Россия,14
2026-01-28,yandex.promopages,Не определено,Россия,13
2026-01-28,yandex.promopages,Москва,Россия,13
2026-03-09,yandex.promopages,Москва,Россия,13
2026-03-25,yandex.promopages,Санкт-Петербург,Россия,13
2026-01-27,yandex.promopages,Не определено,Россия,12
2026-01-06,yandex.promopages,Не определено,Россия,11
2026-01-26,yandex.promopages,Не определено,Россия,11
2026-02-27,yandex.promopages,Москва,Россия,11
2026-03-26,yandex.promopages,Не определено,Россия,11
2026-01-30,yandex.promopages,Не определено,Россия,10
2026-01-30,yandex.promopages,Москва,Россия,10
2026-01-31,yandex.promopages,Не определено,Россия,10
2026-03-24,yandex.promopages,Не определено,Россия,10
2026-01-07,yandex.promopages,Москва,Россия,9
2026-01-14,yandex.promopages,Не определено,Россия,9
2026-01-31,yandex.promopages,Москва,Россия,9
2026-01-06,yandex.promopages,Москва,Россия,8
2026-02-01,yandex.promopages,Москва,Россия,8
2026-02-25,yandex.promopages,Санкт-Петербург,Россия,8
2026-03-24,yandex.promopages,Москва,Россия,8
2026-01-06,yandex.promopages,Санкт-Петербург,Россия,7
2026-01-10,yandex.promopages,Не определено,Россия,7
2026-02-12,yandex.promopages,Не определено,Россия,7
2026-02-26,yandex.promopages,Новосибирск,Россия,7
2026-03-26,yandex.promopages,Москва,Россия,7
2026-01-09,yandex.promopages,Москва,Россия,6
2026-01-15,yandex.promopages,Не определено,Россия,6
2026-01-27,yandex.promopages,Москва,Россия,6
2026-01-29,yandex.promopages,Москва,Россия,6
2026-02-02,yandex.promopages,Москва,Россия,6
2026-02-26,yandex.promopages,Барнаул,Россия,6
2026-03-25,yandex.promopages,Краснодар,Россия,6
2026-01-07,yandex.promopages,Краснодар,Россия,5
2026-01-07,yandex.promopages,Нижний Новгород,Россия,5
2026-01-08,yandex.promopages,Москва,Россия,5
2026-01-08,yandex.promopages,Санкт-Петербург,Россия,5
2026-01-15,yandex.promopages,Красноярск,Россия,5
2026-01-16,yandex.promopages,Не определено,Россия,5
2026-01-28,yandex.promopages,Санкт-Петербург,Россия,5
2026-01-29,yandex.promopages,Санкт-Петербург,Россия,5
2026-01-31,yandex.promopages,Екатеринбург,Россия,5
2026-02-02,yandex.promopages,Не определено,Россия,5
2026-02-10,yandex.promopages,Не определено,Россия,5
2026-02-25,yandex.promopages,Новосибирск,Россия,5
2026-02-26,yandex.promopages,Красноярск,Россия,5
2026-03-12,yandex.promopages,Не определено,Россия,5
2026-03-25,yandex.promopages,Нижний Новгород,Россия,5
2026-01-06,yandex.promopages,Краснодар,Россия,4
2026-01-08,yandex.promopages,Омск,Россия,4
2026-01-13,yandex.promopages,Не определено,Россия,4
2026-01-14,yandex.promopages,Москва,Россия,4
2026-01-15,yandex.promopages,Москва,Россия,4
2026-01-29,yandex.promopages,Саратов,Россия,4
2026-02-09,yandex.promopages,Не определено,Россия,4
2026-02-24,yandex.promopages,Не определено,Россия,4
2026-02-25,yandex.promopages,Москва,Россия,4
2026-02-26,yandex.promopages,Екатеринбург,Россия,4
2026-02-26,yandex.promopages,Нижний Новгород,Россия,4
2026-03-09,yandex.promopages,Санкт-Петербург,Россия,4
2026-03-11,yandex.promopages,Москва,Россия,4
2026-03-12,yandex.promopages,Москва,Россия,4
2026-03-25,yandex.promopages,Екатеринбург,Россия,4
2026-03-25,yandex.promopages,Новосибирск,Россия,4
2026-03-25,yandex.promopages,Саратов,Россия,4
2026-03-26,yandex.promopages,Екатеринбург,Россия,4
2026-01-06,yandex.promopages,Владимир,Россия,3
